TOWN_NR;COUNTRY;TOWN;AVG_ICOME;COST_OF_LIVING;NET_INCOME;CARS_PER_100;EV_RATE;POPULATION;POP_DENSITY;AGE_20;AGE_40;AGE_60;AGE_80;AGE_100
01;UK;Banbury;36000;1200;21600;57,5;2,5;52052;3766;23,28;30,16;26,52;15,92;4,12
02;Belgium;Bilzen;35000;1000;23000;52,5;1,75;32782;431,5;20,15;22,51;27,01;24,18;6,15
03;Belgium;Diepenbeek;35000;1000;23000;52,5;1,75;19607;473,5;19,23;23,38;27,42;23,92;6,04
04;Germany;Rodgau;47500;1000;35500;57,5;3,75;44501;684,2;18,68;23,13;28,98;22,56;6,66
05;Netherlands;Den Hoorn;42000;1100;28800;47,5;5,5;8250;2806;18,24;39,73;20,36;18,03;3,74
06;UK;Barnard Castle;36000;1200;21600;62,5;1,75;5784;2667;18,96;17,35;26,03;28,05;9,61
07;Netherlands;Staphorst;40000;900;29200;57,5;3,5;17739;132,4;27,92;24,22;22,44;17,36;8,06
08;UK;Chester;41000;1500;23000;52,5;3,5;92742;3760;20,97;28,94;25,78;18,89;5,42
09;Netherlands;Oud Gastel;40000;1100;26800;57,5;4,5;5495;2907;19,59;21,46;26,77;25,99;6,2
10;Netherlands;Oosterhout;40000;1100;26800;52,5;4,5;57924;810,9;20,39;22,54;26,17;25,36;5,53
11;UK;Storrington;36000;1200;21600;62,5;3,5;8709;1936;17,71;15,71;25,25;31,65;9,68
12;UK;Whitley Bay;36000;1200;21600;52,5;2,75;36866;5045;22,29;17,95;29,66;23,5;6,61
13;Germany;Bersteland;35000;650;27200;62,5;2,25;844;28,59;18,39;14,59;32,62;25,62;8,78
14;Netherlands;Nuis;40000;900;29200;60;3,5;375;2500;22,64;21,46;26,61;23,92;5,36